Term,Freq,Total,Category,logprob,loglift,relevance,Topic
government,16165.3305657673,58998.63257142474,Topic5,-4.0811,1.2816,-2.47229,5
guam,7748.78808822368,7749.759652354424,Topic5,-4.8165,2.5761,-2.5987199999999997,5
caribbean,6864.525712796787,8015.177165152319,Topic5,-4.9376,2.4213,-2.7299299999999995,5
independence,8101.057960261314,18945.67499057831,Topic5,-4.772,1.7267,-2.8223899999999995,5
special,11397.933791180618,59397.62495620727,Topic5,-4.4306,0.9255,-2.82377,5
visit,5485.998465780762,6589.701119570174,Topic5,-5.1618,2.393,-2.8953599999999997,5
virgin,5032.937934104047,5033.909498079128,Topic5,-5.248,2.5761,-2.90077,5
political,8080.640769005951,25721.626823454582,Topic5,-4.7745,1.4184,-2.9166299999999996,5
constitutional,4248.022938717822,4998.679157562416,Topic5,-5.4176,2.4136,-3.0682399999999994,5
grant,5479.8344405903845,12300.148701428037,Topic5,-5.1629,1.7677,-3.0837199999999996,5
status,5647.8160503540585,14677.614319304097,Topic5,-5.1327,1.6212,-3.10653,5
american,4345.323964022137,6144.04034775091,Topic5,-5.3949,2.2299,-3.1074599999999992,5
wish,4176.879684640442,5504.408211671676,Topic5,-5.4344,2.3003,-3.11399,5
declaration,7732.328995434623,43464.05978687197,Topic5,-4.8186,0.8497,-3.1181099999999997,5
right,81819.07772132166,101307.05974953828,Topic6,-2.3353,2.4868,-0.88867,0
human,61030.509560373604,71153.49133373323,Topic6,-2.6284,2.547,-1.07578,0
freedom,11402.949706096506,13396.528588362497,Topic6,-4.3059,2.5394,-2.25231,0
cultural,9227.058507119553,15168.733062365385,Topic6,-4.5177,2.2034,-2.501369999999999,0
promotion,8834.010702586858,14395.409986458015,Topic6,-4.5612,2.2122,-2.5291799999999998,0
fundamental,7871.742535216065,10111.276095811545,Topic6,-4.6765,2.4501,-2.5385199999999997,0
declaration,10448.595009842082,43464.05978687197,Topic6,-4.3933,1.275,-2.69281,0
covenant,5326.671492794143,5448.6938783399155,Topic6,-5.0671,2.6778,-2.7436299999999996,0
protection,7369.238300324218,20600.016306642177,Topic6,-4.7425,1.6725,-2.8179999999999996,0
respect,7831.858672282835,25247.200484203448,Topic6,-4.6816,1.53,-2.81812,0
universal,5835.109059526898,10832.284806956892,Topic6,-4.9759,2.0818,-2.85859,0
religion,4242.832221890625,4243.803131726554,Topic6,-5.2946,2.7003,-2.8961299999999994,0
political,7132.627009875054,25721.626823454582,Topic6,-4.7751,1.4178,-2.91723,0
rapporteur,4296.825462909707,4867.354163138617,Topic6,-5.2819,2.5758,-2.92459,0
social,8483.932313997546,58846.40530377327,Topic6,-4.6016,0.7637,-2.99201,0
religious,3563.6330340972445,3886.8249215186456,Topic6,-5.469,2.6137,-3.04419,0
principle,6308.06473497219,26110.619362072954,Topic6,-4.898,1.28,-3.0445999999999995,0
