Number of Topics,Log Perplexity,Coherence Score
6,-6.813943665381562,0.5188833549808675
8,-6.7764644356526995,0.5188054861018896
10,-6.7863031831522305,0.5211125264159986
12,-6.944504619422998,0.518050155902516
14,-7.144458333754407,0.5379131592685747
16,-7.261301714823768,0.5366598046929976
18,-7.344662010059346,0.5430080549910599
20,-7.395178010511374,0.5414916413806721
